"journal","data","values"
"Nursing Research and Practice","APC","$950"
"Nursing Research and Practice","Acceptance rate","7%"
"Nursing Research and Practice","Submission to final decision","153 days"
"Nursing Research and Practice","Acceptance to publication","21 days"
"Nursing Research and Practice","CiteScore","2.900"
"Nursing Research and Practice","Journal Citation Indicator","0.670"
"Nursing Research and Practice","Impact Factor","1.9"
"Obstetrics and Gynecology International","APC","$950"
"Obstetrics and Gynecology International","Acceptance rate","19%"
"Obstetrics and Gynecology International","Submission to final decision","70 days"
"Obstetrics and Gynecology International","Acceptance to publication","19 days"
"Obstetrics and Gynecology International","CiteScore","1.600"
"Obstetrics and Gynecology International","Journal Citation Indicator","0.660"
"Obstetrics and Gynecology International","Impact Factor","1.5"
"Occupational Therapy International","APC","$1550"
"Occupational Therapy International","Acceptance rate","15%"
"Occupational Therapy International","Submission to final decision","87 days"
"Occupational Therapy International","Acceptance to publication","24 days"
"Occupational Therapy International","CiteScore","10.100"
"Occupational Therapy International","Journal Citation Indicator","-"
"Occupational Therapy International","Impact Factor","-"
"Oxidative Medicine and Cellular Longevity","APC","$2550"
"Oxidative Medicine and Cellular Longevity","Acceptance rate","15%"
"Oxidative Medicine and Cellular Longevity","Submission to final decision","104 days"
"Oxidative Medicine and Cellular Longevity","Acceptance to publication","21 days"
"Oxidative Medicine and Cellular Longevity","CiteScore","4.000"
"Oxidative Medicine and Cellular Longevity","Journal Citation Indicator","0.610"
"Oxidative Medicine and Cellular Longevity","Impact Factor","2.9"
"Pain Research and Management","APC","$2450"
"Pain Research and Management","Acceptance rate","25%"
"Pain Research and Management","Submission to final decision","117 days"
"Pain Research and Management","Acceptance to publication","22 days"
"Pain Research and Management","CiteScore","5.200"
"Pain Research and Management","Journal Citation Indicator","0.730"
"Pain Research and Management","Impact Factor","3.2"
"Parkinson’s Disease","APC","$2060"
"Parkinson’s Disease","Acceptance rate","29%"
"Parkinson’s Disease","Submission to final decision","88 days"
"Parkinson’s Disease","Acceptance to publication","18 days"
"Parkinson’s Disease","CiteScore","5.900"
"Parkinson’s Disease","Journal Citation Indicator","1.010"
"Parkinson’s Disease","Impact Factor","3.4"
"Pediatric Diabetes","APC","$2370"
"Pediatric Diabetes","Acceptance rate","12%"
"Pediatric Diabetes","Submission to final decision","67 days"
"Pediatric Diabetes","Acceptance to publication","54 days"
"Pediatric Diabetes","CiteScore","3.400"
"Pediatric Diabetes","Journal Citation Indicator","0.830"
"Pediatric Diabetes","Impact Factor","2.3"
"Perspectives in Psychiatric Care","APC","$2580"
"Perspectives in Psychiatric Care","Acceptance rate","-"
"Perspectives in Psychiatric Care","Submission to final decision","-"
"Perspectives in Psychiatric Care","Acceptance to publication","-"
"Perspectives in Psychiatric Care","CiteScore","3.900"
"Perspectives in Psychiatric Care","Journal Citation Indicator","0.490"
"Perspectives in Psychiatric Care","Impact Factor","1.9"
"Polymer Crystallization","APC","$950"
"Polymer Crystallization","Acceptance rate","9%"
"Polymer Crystallization","Submission to final decision","91 days"
"Polymer Crystallization","Acceptance to publication","21 days"
"Polymer Crystallization","CiteScore","5.800"
"Polymer Crystallization","Journal Citation Indicator","0.720"
"Polymer Crystallization","Impact Factor","2.9"
"PPAR Research","APC","$1550"
"PPAR Research","Acceptance rate","-"
"PPAR Research","Submission to final decision","-"
"PPAR Research","Acceptance to publication","-"
"PPAR Research","CiteScore","3.200"
"PPAR Research","Journal Citation Indicator","0.280"
"PPAR Research","Impact Factor","4.2"
"Prostate Cancer","APC","$950"
"Prostate Cancer","Acceptance rate","-"
"Prostate Cancer","Submission to final decision","-"
"Prostate Cancer","Acceptance to publication","-"
"Prostate Cancer","CiteScore","0.900"
"Prostate Cancer","Journal Citation Indicator","0.320"
"Prostate Cancer","Impact Factor","1.1"
"Psyche: A Journal of Entomology","APC","$950"
"Psychiatry Journal","APC","$820"
"Psychiatry Journal","Acceptance rate","-"
"Psychiatry Journal","Submission to final decision","-"
"Psychiatry Journal","Acceptance to publication","-"
"Psychiatry Journal","CiteScore","7.300"
"Psychiatry Journal","Journal Citation Indicator","0.710"
"Psychiatry Journal","Impact Factor","4.3"
"Pulmonary Medicine","APC","$950"
"Pulmonary Medicine","Acceptance rate","31%"
"Pulmonary Medicine","Submission to final decision","99 days"
"Pulmonary Medicine","Acceptance to publication","27 days"
"Pulmonary Medicine","CiteScore","-"
"Pulmonary Medicine","Journal Citation Indicator","-"
"Pulmonary Medicine","Impact Factor","-"
"Quantum Engineering","APC","$800"
"Quantum Engineering","Acceptance rate","21%"
"Quantum Engineering","Submission to final decision","77 days"
"Quantum Engineering","Acceptance to publication","19 days"
"Quantum Engineering","CiteScore","-"
"Quantum Engineering","Journal Citation Indicator","0.680"
"Quantum Engineering","Impact Factor","2.7"
"Radiology Research and Practice","APC","$950"
"Radiology Research and Practice","Acceptance rate","-"
"Radiology Research and Practice","Submission to final decision","-"
"Radiology Research and Practice","Acceptance to publication","-"
"Radiology Research and Practice","CiteScore","2.200"
"Radiology Research and Practice","Journal Citation Indicator","0.740"
"Radiology Research and Practice","Impact Factor","1.8"
"Rehabilitation Research and Practice","APC","$950"
"Rehabilitation Research and Practice","Acceptance rate","-"
"Rehabilitation Research and Practice","Submission to final decision","-"
"Rehabilitation Research and Practice","Acceptance to publication","-"
"Rehabilitation Research and Practice","CiteScore","4.500"
"Rehabilitation Research and Practice","Journal Citation Indicator","-"
"Rehabilitation Research and Practice","Impact Factor","-"
"Sarcoma","APC","$820"
"Sarcoma","Acceptance rate","35%"
"Sarcoma","Submission to final decision","41 days"
"Sarcoma","Acceptance to publication","14 days"
"Sarcoma","CiteScore","2.500"
"Sarcoma","Journal Citation Indicator","-"
"Sarcoma","Impact Factor","-"
"Scanning","APC","$1500"
"Scanning","Acceptance rate","-"
"Scanning","Submission to final decision","-"
"Scanning","Acceptance to publication","-"
"Scanning","CiteScore","2.500"
"Scanning","Journal Citation Indicator","0.410"
"Scanning","Impact Factor","2.4"
"Schizophrenia Research and Treatment","APC","$950"
"Schizophrenia Research and Treatment","Acceptance rate","42%"
"Schizophrenia Research and Treatment","Submission to final decision","102 days"
"Schizophrenia Research and Treatment","Acceptance to publication","23 days"
"Schizophrenia Research and Treatment","CiteScore","1.500"
"Schizophrenia Research and Treatment","Journal Citation Indicator","0.380"
"Schizophrenia Research and Treatment","Impact Factor","1.1"
"Science and Technology of Nuclear Installations","APC","$1550"
"Science and Technology of Nuclear Installations","Acceptance rate","22%"
"Science and Technology of Nuclear Installations","Submission to final decision","62 days"
"Science and Technology of Nuclear Installations","Acceptance to publication","26 days"
"Science and Technology of Nuclear Installations","CiteScore","1.700"
"Science and Technology of Nuclear Installations","Journal Citation Indicator","-"
"Science and Technology of Nuclear Installations","Impact Factor","-"
"Scientific Programming","APC","$2000"
"Scientific Programming","Acceptance rate","9%"
"Scientific Programming","Submission to final decision","115 days"
"Scientific Programming","Acceptance to publication","20 days"
"Scientific Programming","CiteScore","5.300"
"Scientific Programming","Journal Citation Indicator","0.710"
"Scientific Programming","Impact Factor","3.2"
"Scientifica","APC","$950"
"Scientifica","Acceptance rate","22%"
"Scientifica","Submission to final decision","72 days"
"Scientifica","Acceptance to publication","28 days"
"Scientifica","CiteScore","2.600"
"Scientifica","Journal Citation Indicator","-"
"Scientifica","Impact Factor","-"
"Security and Communication Networks","APC","$2550"
"Security and Communication Networks","Acceptance rate","30%"
"Security and Communication Networks","Submission to final decision","86 days"
"Security and Communication Networks","Acceptance to publication","23 days"
"Security and Communication Networks","CiteScore","2.800"
"Security and Communication Networks","Journal Citation Indicator","0.400"
"Security and Communication Networks","Impact Factor","1.6"
"Shock and Vibration","APC","$2630"
"Sleep Disorders","APC","$820"
"Sleep Disorders","Acceptance rate","22%"
"Sleep Disorders","Submission to final decision","109 days"
"Sleep Disorders","Acceptance to publication","23 days"
"Sleep Disorders","CiteScore","8.500"
"Sleep Disorders","Journal Citation Indicator","0.800"
"Sleep Disorders","Impact Factor","4.3"
"Stem Cells International","APC","$2450"
"Stem Cells International","Acceptance rate","-"
"Stem Cells International","Submission to final decision","-"
"Stem Cells International","Acceptance to publication","-"
"Stem Cells International","CiteScore","2.600"
"Stem Cells International","Journal Citation Indicator","0.320"
"Stem Cells International","Impact Factor","1.5"
"Stroke Research and Treatment","APC","$950"
"Stroke Research and Treatment","Acceptance rate","28%"
"Stroke Research and Treatment","Submission to final decision","92 days"
"Stroke Research and Treatment","Acceptance to publication","23 days"
"Stroke Research and Treatment","CiteScore","9.200"
"Stroke Research and Treatment","Journal Citation Indicator","1.160"
"Stroke Research and Treatment","Impact Factor","5.4"
"Structural Control and Health Monitoring","APC","$2370"
"Surgery Research and Practice","APC","$820"
"Surgery Research and Practice","Acceptance rate","8%"
"Surgery Research and Practice","Submission to final decision","147 days"
"Surgery Research and Practice","Acceptance to publication","24 days"
"Surgery Research and Practice","CiteScore","3.300"
"Surgery Research and Practice","Journal Citation Indicator","0.440"
"Surgery Research and Practice","Impact Factor","2.1"
"The Breast Journal","APC","$2240"
"The Breast Journal","Acceptance rate","16%"
"The Breast Journal","Submission to final decision","103 days"
"The Breast Journal","Acceptance to publication","19 days"
"The Breast Journal","CiteScore","3.900"
"The Breast Journal","Journal Citation Indicator","-"
"The Breast Journal","Impact Factor","-"
"The Scientific World Journal","APC","$820"
"The Scientific World Journal","Acceptance rate","28%"
"The Scientific World Journal","Submission to final decision","86 days"
"The Scientific World Journal","Acceptance to publication","19 days"
"The Scientific World Journal","CiteScore","7.400"
"The Scientific World Journal","Journal Citation Indicator","1.450"
"The Scientific World Journal","Impact Factor","4.3"
"Transboundary and Emerging Diseases","APC","$2580"
"Transboundary and Emerging Diseases","Acceptance rate","18%"
"Transboundary and Emerging Diseases","Submission to final decision","104 days"
"Transboundary and Emerging Diseases","Acceptance to publication","27 days"
"Transboundary and Emerging Diseases","CiteScore","2.400"
"Transboundary and Emerging Diseases","Journal Citation Indicator","0.440"
"Transboundary and Emerging Diseases","Impact Factor","1.2"
"Translational Sports Medicine","APC","$800"
"Tuberculosis Research and Treatment","APC","$820"
"Tuberculosis Research and Treatment","Acceptance rate","16%"
"Tuberculosis Research and Treatment","Submission to final decision","94 days"
"Tuberculosis Research and Treatment","Acceptance to publication","15 days"
"Tuberculosis Research and Treatment","CiteScore","2.300"
"Tuberculosis Research and Treatment","Journal Citation Indicator","0.610"
"Tuberculosis Research and Treatment","Impact Factor","3.1"
"Veterinary Medicine International","APC","$820"
"Veterinary Medicine International","Acceptance rate","31%"
"Veterinary Medicine International","Submission to final decision","62 days"
"Veterinary Medicine International","Acceptance to publication","22 days"
"Veterinary Medicine International","CiteScore","2.300"
"Veterinary Medicine International","Journal Citation Indicator","-"
"Veterinary Medicine International","Impact Factor","-"
"Wireless Communications and Mobile Computing","APC","$2550"
"Wireless Communications and Mobile Computing","Acceptance rate","-"
"Wireless Communications and Mobile Computing","Submission to final decision","-"
"Wireless Communications and Mobile Computing","Acceptance to publication","-"
"Wireless Communications and Mobile Computing","CiteScore","2.300"
"Wireless Communications and Mobile Computing","Journal Citation Indicator","0.120"
"Wireless Communications and Mobile Computing","Impact Factor","4.2"
"Wireless Power Transfer","APC","$1400"
